time,energy,energy_error,body1_x,body1_y,body1_z,body1_vx,body1_vy,body1_vz,body2_x,body2_y,body2_z,body2_vx,body2_vy,body2_vz
0.01,155.896,155.896,0.01,5e-05,0,-16.6667,0.01,0,1,0.01,0,-3367.17,1.08588,0
0.02,2327.53,2327.53,-0.148359,0.000204294,0,-67.3409,-0.150025,0,-32.6717,0.0208588,0,-6331.13,-26.7821,0
0.03,8593.09,8593.09,-0.791632,-0.000926223,0,-130.636,-0.417856,0,-95.983,-0.246962,0,-6327.91,-26.7842,0
0.04,18861.6,18861.6,-2.06786,-0.00473506,0,-193.914,-0.685694,0,-159.262,-0.514805,0,-6327.54,-26.7833,0
0.05,33133.5,33133.5,-3.97686,-0.0112223,0,-257.188,-0.953524,0,-222.538,-0.782638,0,-6327.4,-26.7828,0
0.06,51408.8,51408.8,-6.5186,-0.0203878,0,-320.462,-1.22135,0,-285.812,-1.05047,0,-6327.33,-26.7826,0
0.07,73687.5,73687.5,-9.69309,-0.0322316,0,-383.735,-1.48918,0,-349.085,-1.31829,0,-6327.29,-26.7824,0
0.08,99969.7,99969.7,-13.5003,-0.0467536,0,-447.008,-1.757,0,-412.358,-1.58612,0,-6327.26,-26.7823,0
0.09,130255,130255,-17.9402,-0.0639539,0,-510.281,-2.02482,0,-475.63,-1.85394,0,-6327.24,-26.7822,0
0.1,164544,164544,-23.0129,-0.0838324,0,-573.553,-2.29265,0,-538.903,-2.12176,0,-6327.22,-26.7822,0
0.11,202836,202836,-28.7183,-0.106389,0,-636.825,-2.56047,0,-602.175,-2.38958,0,-6327.21,-26.7821,0
0.12,245132,245132,-35.0564,-0.131624,0,-700.097,-2.82829,0,-665.447,-2.6574,0,-6327.2,-26.7821,0
0.13,291431,291431,-42.0272,-0.159537,0,-763.369,-3.09611,0,-728.719,-2.92523,0,-6327.19,-26.782,0
0.14,341733,341733,-49.6308,-0.190129,0,-826.641,-3.36393,0,-791.991,-3.19305,0,-6327.19,-26.782,0
0.15,396039,396039,-57.8671,-0.223398,0,-889.913,-3.63175,0,-855.263,-3.46087,0,-6327.18,-26.782,0
0.16,454348,454348,-66.7361,-0.259346,0,-953.185,-3.89957,0,-918.535,-3.72869,0,-6327.17,-26.782,0
0.17,516660,516660,-76.2378,-0.297972,0,-1016.46,-4.16739,0,-981.807,-3.99651,0,-6327.17,-26.782,0
0.18,582976,582976,-86.3722,-0.339276,0,-1079.73,-4.43521,0,-1045.08,-4.26433,0,-6327.17,-26.7819,0
0.19,653295,653295,-97.1393,-0.383258,0,-1143,-4.70303,0,-1108.35,-4.53214,0,-6327.16,-26.7819,0
0.2,727617,727617,-108.539,-0.429919,0,-1206.27,-4.97085,0,-1171.62,-4.79996,0,-6327.16,-26.7819,0
0.21,805943,805943,-120.572,-0.479258,0,-1269.54,-5.23867,0,-1234.89,-5.06778,0,-6327.16,-26.7819,0
0.22,888272,888272,-133.237,-0.531275,0,-1332.81,-5.50648,0,-1298.16,-5.3356,0,-6327.15,-26.7819,0
0.23,974604,974604,-146.535,-0.58597,0,-1396.09,-5.7743,0,-1361.44,-5.60342,0,-6327.15,-26.7819,0
0.24,1.06494e+06,1.06494e+06,-160.466,-0.643343,0,-1459.36,-6.04212,0,-1424.71,-5.87124,0,-6327.15,-26.7819,0
0.25,1.15928e+06,1.15928e+06,-175.029,-0.703394,0,-1522.63,-6.30994,0,-1487.98,-6.13906,0,-6327.15,-26.7819,0
