time,energy,energy_error,angle,angular_velocity
0.00291417,2.87035,-4.44089e-16,0.785369,-0.020194
0.00582726,2.87035,-8.88178e-16,0.785281,-0.0403793
0.00873879,2.87035,-1.77636e-15,0.785134,-0.0605514
0.0116483,2.87035,-1.33227e-15,0.784928,-0.0807058
0.0145553,2.87035,-1.33227e-15,0.784664,-0.100838
0.0174593,2.87035,-1.77636e-15,0.784342,-0.120944
0.0203599,2.87035,-1.77636e-15,0.783962,-0.14102
0.0232567,2.87035,-1.77636e-15,0.783525,-0.16106
0.0261492,2.87035,-1.77636e-15,0.78303,-0.181061
0.029037,2.87035,-2.22045e-15,0.782478,-0.20102
0.0319196,2.87035,-3.55271e-15,0.78187,-0.220931
0.0347968,2.87035,-3.9968e-15,0.781206,-0.240792
0.037668,2.87035,-4.44089e-15,0.780486,-0.260598
0.040533,2.87035,-4.88498e-15,0.779711,-0.280346
0.0433913,2.87035,-4.44089e-15,0.778882,-0.300032
0.0462426,2.87035,-5.32907e-15,0.777998,-0.319652
0.0490866,2.87035,-5.77316e-15,0.777061,-0.339205
0.051923,2.87035,-6.21725e-15,0.776072,-0.358686
0.0547515,2.87035,-6.21725e-15,0.77503,-0.378092
0.0575718,2.87035,-5.77316e-15,0.773936,-0.397421
0.0603836,2.87035,-7.54952e-15,0.772791,-0.41667
0.0631866,2.87035,-7.54952e-15,0.771597,-0.435836
0.0659807,2.87035,-7.54952e-15,0.770352,-0.454917
0.0687656,2.87035,-7.54952e-15,0.769059,-0.47391
0.071541,2.87035,-8.88178e-15,0.767717,-0.492813
0.0743069,2.87035,-8.88178e-15,0.766328,-0.511625
0.077063,2.87035,-7.99361e-15,0.764892,-0.530342
0.0798092,2.87035,-7.54952e-15,0.76341,-0.548963
0.0825453,2.87035,-7.10543e-15,0.761883,-0.567487
0.0852711,2.87035,-7.10543e-15,0.760311,-0.585912
0.0879866,2.87035,-6.66134e-15,0.758695,-0.604236
0.0906917,2.87035,-7.10543e-15,0.757036,-0.622458
0.0933861,2.87035,-7.10543e-15,0.755334,-0.640576
0.0960699,2.87035,-7.54952e-15,0.753591,-0.65859
0.098743,2.87035,-7.99361e-15,0.751807,-0.676498
0.101405,2.87035,-8.88178e-15,0.749982,-0.694299
0.104057,2.87035,-8.43769e-15,0.748118,-0.711993
0.106697,2.87035,-8.88178e-15,0.746214,-0.729578
0.109327,2.87035,-7.99361e-15,0.744273,-0.747054
0.111945,2.87035,-7.99361e-15,0.742294,-0.76442
0.114553,2.87035,-7.99361e-15,0.740278,-0.781676
0.11715,2.87035,-9.32587e-15,0.738226,-0.79882
0.119735,2.87035,-9.32587e-15,0.736138,-0.815853
0.12231,2.87035,-1.02141e-14,0.734016,-0.832775
0.124874,2.87035,-1.15463e-14,0.73186,-0.849584
0.127426,2.87035,-1.11022e-14,0.72967,-0.866281
0.129968,2.87035,-1.28786e-14,0.727447,-0.882865
0.132499,2.87035,-1.28786e-14,0.725192,-0.899337
0.135019,2.87035,-1.28786e-14,0.722905,-0.915695
0.137528,2.87035,-1.37668e-14,0.720587,-0.931941
0.140026,2.87035,-1.28786e-14,0.718238,-0.948074
0.142513,2.87035,-1.28786e-14,0.71586,-0.964094
0.14499,2.87035,-1.37668e-14,0.713452,-0.980001
0.147456,2.87035,-1.33227e-14,0.711016,-0.995796
0.149912,2.87035,-1.42109e-14,0.708552,-1.01148
0.152357,2.87035,-1.46549e-14,0.70606,-1.02705
0.154792,2.87035,-1.55431e-14,0.70354,-1.04251
0.157216,2.87035,-1.5099e-14,0.700995,-1.05785
0.15963,2.87035,-1.5099e-14,0.698423,-1.07309
0.162033,2.87035,-1.5099e-14,0.695825,-1.08821
0.164426,2.87035,-1.55431e-14,0.693203,-1.10322
0.16681,2.87035,-1.5099e-14,0.690556,-1.11812
0.169183,2.87035,-1.5099e-14,0.687885,-1.13291
0.171546,2.87035,-1.55431e-14,0.68519,-1.14759
0.1739,2.87035,-1.55431e-14,0.682472,-1.16216
0.176243,2.87035,-1.59872e-14,0.679731,-1.17662
0.178577,2.87035,-1.68754e-14,0.676968,-1.19098
0.180902,2.87035,-1.64313e-14,0.674184,-1.20522
0.183216,2.87035,-1.73195e-14,0.671377,-1.21936
0.185522,2.87035,-1.59872e-14,0.66855,-1.23339
0.187818,2.87035,-1.64313e-14,0.665702,-1.24731
0.190104,2.87035,-1.55431e-14,0.662834,-1.26112
0.192382,2.87035,-1.59872e-14,0.659946,-1.27483
0.19465,2.87035,-1.59872e-14,0.657039,-1.28844
0.19691,2.87035,-1.73195e-14,0.654113,-1.30193
0.19916,2.87035,-1.82077e-14,0.651168,-1.31533
0.201402,2.87035,-1.90958e-14,0.648204,-1.32862
0.203635,2.87035,-1.86517e-14,0.645223,-1.3418
0.205859,2.87035,-1.90958e-14,0.642224,-1.35489
0.208075,2.87035,-1.90958e-14,0.639207,-1.36787
0.210282,2.87035,-1.82077e-14,0.636174,-1.38074
0.212481,2.87035,-1.82077e-14,0.633124,-1.39352
0.214671,2.87035,-1.86517e-14,0.630057,-1.40619
0.216854,2.87035,-1.90958e-14,0.626975,-1.41877
0.219028,2.87035,-1.86517e-14,0.623877,-1.43124
0.221194,2.87035,-1.86517e-14,0.620763,-1.44362
0.223352,2.87035,-1.90958e-14,0.617634,-1.45589
0.225502,2.87035,-1.86517e-14,0.614491,-1.46807
0.227645,2.87035,-1.86517e-14,0.611333,-1.48015
0.22978,2.87035,-1.82077e-14,0.60816,-1.49213
0.231907,2.87035,-1.82077e-14,0.604973,-1.50401
0.234026,2.87035,-1.90958e-14,0.601773,-1.5158
0.236139,2.87035,-1.90958e-14,0.598559,-1.52749
0.238243,2.87035,-1.9984e-14,0.595332,-1.53908
0.240341,2.87035,-1.90958e-14,0.592091,-1.55058
0.242431,2.87035,-1.9984e-14,0.588838,-1.56199
0.244514,2.87035,-1.90958e-14,0.585572,-1.5733
0.246591,2.87035,-1.90958e-14,0.582294,-1.58451
0.24866,2.87035,-1.86517e-14,0.579004,-1.59564
0.250722,2.87035,-1.82077e-14,0.575702,-1.60667
0.252777,2.87035,-1.90958e-14,0.572388,-1.61761
0.254826,2.87035,-1.9984e-14,0.569063,-1.62846
0.256868,2.87035,-2.04281e-14,0.565727,-1.63921
0.258904,2.87035,-1.9984e-14,0.562379,-1.64988
